Climb,location,rating,rating_dif,star_votes,stars,sub_location,type
105820173,Nevada,22.0,1.0,132,4.2,Red Rock,Sport
105717325,Utah,17.5,0.0,56,2.7,Moab Area,Trad
105799356,Idaho,21.0,0.0,35,3.8,City of Rocks,Sport
105752890,Colorado,16.0,0.0,82,2.6,Canon City,Sport
105717631,Utah,21.0,1.0,85,3.6,Moab Area,Trad
105750373,Colorado,18.0,0.0,44,3.7,Boulder,Trad
105740039,Utah,18.0,0.0,135,4.4,Wasatch Range,Trad
105877209,New Hampshire,21.0,0.0,132,4.1,Rumney,Sport
105753502,Colorado,23.0,0.0,94,3.7,Rifle,Sport
105959363,New Hampshire,16.5,0.5,209,4.1,Rumney,Sport
105722272,California,19.0,-1.0,67,3.9,Joshua Tree National Park,Trad
105741062,Idaho,19.0,0.0,63,3.7,City of Rocks,Trad
105721714,California,23.0,0.0,39,3.6,Joshua Tree National Park,Trad
105718534,Utah,21.0,0.0,77,3.7,Moab Area,Trad
105749821,Colorado,14.5,0.0,113,2.6,Boulder,Sport
105732548,Nevada,22.0,0.0,156,3.9,Red Rock,Sport
105750517,Colorado,19.0,0.0,69,3.7,Boulder,Trad
105755290,Colorado,21.0,0.0,44,3.6,Boulder,Trad
105721792,California,21.0,0.0,175,4.7,Joshua Tree National Park,Trad
105717577,Utah,16.5,0.0,98,2.8,Moab Area,Trad
105723445,California,19.0,0.0,116,3.9,Joshua Tree National Park,Trad
105946140,Utah,20.0,0.0,70,3.9,Moab Area,Trad
105752269,Colorado,21.0,1.0,82,2.9,Boulder,Sport
105721720,California,20.0,0.0,122,3.9,Joshua Tree National Park,Trad
106089261,New York,20.0,0.0,37,4.4,The Gunks,Trad
105748352,Colorado,17.5,0.0,125,3.7,Boulder,Trad
105761367,Colorado,17.5,1.5,91,2.6,Boulder,Sport
105758062,Colorado,21.0,0.0,157,3.9,Boulder,Sport
105806589,New York,16.0,0.0,119,3.9,The Gunks,Trad
105732809,Nevada,18.0,0.0,166,4.3,Red Rock,Trad
105752794,Colorado,10.5,0.0,97,4.0,Boulder,Trad
105799049,New York,20.0,0.0,74,3.7,The Gunks,Trad
105915124,California,17.5,0.0,162,4.0,Yosemite National Park,Trad
105717487,Utah,18.0,0.0,136,3.8,Moab Area,Trad
105751804,Wyoming,21.0,0.0,49,4.3,Vedauwoo,Trad
105741512,Idaho,16.0,0.0,151,4.0,City of Rocks,Trad
105754732,Colorado,22.5,0.0,56,3.2,Boulder,Sport
105758901,Colorado,20.0,0.0,95,3.1,Boulder,Sport
105857287,Utah,19.0,0.0,119,3.8,Maple Canyon,Sport
105908766,New Hampshire,14.5,0.0,51,2.7,Rumney,Sport
105799088,New York,20.0,-0.5,68,4.0,The Gunks,Trad
105860759,Kentucky,26.0,0.0,118,4.6,Red River Gorge,Sport
105930583,Utah,17.5,-0.5,79,4.4,Moab Area,Trad
105906994,New Hampshire,14.5,0.0,64,3.4,Rumney,Trad
